id,title,url,assigned_categories,status
RECORD-00067,Getting the Connections Right: Public Journalism and the Troubles in the Press (Perspectives on the News),https://www.amazon.com/Getting-Connections-Right-Journalism-Perspectives/dp/0870783858,Audience & Public Engagement; Press & Media Criticism,Categorized
RECORD-00637,The Digital Divide: Exploring the Gap in Internet Access and Adoption,https://publicnotebook.wordpress.com/2010/12/04/julian-assange-ducks-the-question-a-lot-of-us/,Technology & Digital Media,Categorized
TUMBLR-00001,Tracking the success of My Water's on Fire Tonight,https://tmblr.co/ZCJQUy9ug2dE,Technology & Digital Media,Categorized
TUMBLR-00002,Studio 20,https://tmblr.co/ZCJQUy9uleNy,Journalism Education,Categorized
TUMBLR-00003,ExplainerNet,https://tmblr.co/ZCJQUy9upGcZ,,Needs Review
TUMBLR-00004,Studio 20,https://tmblr.co/ZCJQUy9upkNv,Journalism Education,Categorized
TUMBLR-00005,Studio 20,https://tmblr.co/ZCJQUy9urvwH,Journalism Education,Categorized
TUMBLR-00006,"Photos from ""Building A Better Explainer"" Presentation",https://tmblr.co/ZCJQUy9wi4k9,,Needs Review
TUMBLR-00007,The Local East Village to Launch September 13,https://tmblr.co/ZCJQUy10m_47,Journalism Education; Technology & Digital Media,Categorized
TUMBLR-00008,Jay Rosen's Advice to the Next Generation of Journalists,https://tmblr.co/ZCJQUy114teW,Press & Media Criticism,Categorized
TUMBLR-00009,Studio 20,https://tmblr.co/ZCJQUy11VVoH,Journalism Education,Categorized
TUMBLR-00010,Studio 20 Speakers Series,https://tmblr.co/ZCJQUyAWfZbJ,Press & Media Criticism,Categorized
TUMBLR-00011,Class of 2011 - Studio III Projects and Summer Gigs,https://tmblr.co/ZCJQUyAYiTqx,Journalism Education; Technology & Digital Media; Audience & Public Engagement,Categorized
TUMBLR-00012,Studio 20 Profiled as a Unique Approach to Journalism Education,https://tmblr.co/ZCJQUy14j4hk,Journalism Education; Technology & Digital Media,Categorized
TUMBLR-00013,Studio 20 Summer: Focus on Lesley Messer,https://tmblr.co/ZCJQUy15dyMy,,Needs Review
TUMBLR-00014,Studio 20 at the Arthur L. Carter Journalism Institute,https://tmblr.co/ZCJQUyAwdymk,Journalism Education; Technology & Digital Media,Categorized
TUMBLR-00015,Studio 20 students are Designing Conversational Spaces at ITP,https://tmblr.co/ZCJQUyAwl1AN,Technology & Digital Media,Categorized
TUMBLR-00016,The Redistricting Remix,https://tmblr.co/ZCJQUyBVYTrk,,Needs Review
TUMBLR-00017,Studio 20,https://tmblr.co/ZCJQUy1Au0cf,Journalism Education,Categorized
TUMBLR-00018,Studio 20 Profile: Focus on James Matthews,https://tmblr.co/ZCJQUy1DsomA,,Needs Review
TUMBLR-00019,Introducing... Zoe Fraade-Blanar,https://tmblr.co/ZCJQUyCVlZZq,Journalism Education,Categorized
TUMBLR-00020,The Studio 20 @ NYU Explainer,https://tmblr.co/ZCJQUyCi4YTA,Journalism Education,Categorized
TUMBLR-00021,Studio 20,https://tmblr.co/ZCJQUyCw4r1o,Journalism Education,Categorized
TUMBLR-00022,Open Studio: An Open Invitation,https://tmblr.co/ZCJQUyCxXc-M,Journalism Education; Technology & Digital Media,Categorized
TUMBLR-00023,Studio 20 Will Collaborate With The Guardian on How to Improve Election Coverage,https://tmblr.co/ZCJQUyDIsJfc,Journalism Education; Technology & Digital Media; Audience & Public Engagement; Press & Media Criticism; Politics & Democracy,Categorized
TUMBLR-00024,Studio 20,https://tmblr.co/ZCJQUyE6An_m,Journalism Education,Categorized
TUMBLR-00025,Studio 20 Liveblogs the NYC Marathon,https://tmblr.co/ZCJQUy1QWMt1,Technology & Digital Media,Categorized
TUMBLR-00026,Studio 20's Niel Bekker Publishes Post about Disruptive Storytelling,https://tmblr.co/ZCJQUy1R0I6Z,,Needs Review
TUMBLR-00027,Studio 20 Students Push a Variety of Envelopes with Media Partners,https://tmblr.co/ZCJQUy1Z4C06,Technology & Digital Media; Audience & Public Engagement,Categorized
TUMBLR-00028,Studio 20 Grads Settle into their New Jobs!,https://tmblr.co/ZCJQUyFqIJTj,Technology & Digital Media,Categorized
TUMBLR-00029,(More) Studio 20 Grads Settle into their New Jobs!,https://tmblr.co/ZCJQUyGoksuI,Technology & Digital Media; Press & Media Criticism,Categorized
TUMBLR-00030,The Citizens’ Agenda Round 1: #unasked Questions in GOP Debates,https://tmblr.co/ZCJQUyHB1AUo,Audience & Public Engagement; Politics & Democracy,Categorized
TUMBLR-00031,"Professor Samuels at SXSW: Black in America/Silicon Valley, the Aftermath",https://tmblr.co/ZCJQUyI4CAP4,Technology & Digital Media,Categorized
TUMBLR-00032,The Man Behind the News Songs,https://tmblr.co/ZCJQUyIO3Yx4,Journalism Education,Categorized
TUMBLR-00033,Studio 20 Collaborates with ProPublica to Build a Better Explainer,https://tmblr.co/ZCJQUy1wsFuZ,Journalism Education,Categorized
TUMBLR-00034,First Year Studio 20-er Anjali Mullany Makes Moves,https://tmblr.co/ZCJQUyJO5cGZ,Technology & Digital Media,Categorized
TUMBLR-00035,Maybe your site should be home to a Studio 20 project,https://tmblr.co/ZCJQUyJTrUWO,Journalism Education,Categorized
TUMBLR-00036,Studio 20,https://tmblr.co/ZCJQUy1-9d6B,Journalism Education,Categorized
TUMBLR-00037,How to Apply,https://tmblr.co/ZCJQUyDMhkv,Technology & Digital Media,Categorized
TUMBLR-00038,Studio 20,https://tmblr.co/ZCJQUyDMoNG,Journalism Education,Categorized
TUMBLR-00039,Professor Jay Rosen on BlogTalkRadio,https://tmblr.co/ZCJQUyDMwnP,,Needs Review
TUMBLR-00040,Listen to Rebooting the News,https://tmblr.co/ZCJQUyDMxT5,,Needs Review
TUMBLR-00041,Media and Music,https://tmblr.co/ZCJQUyDM-LA,,Needs Review
TUMBLR-00042,Studio 20,https://tmblr.co/ZCJQUyDN2kT,Journalism Education,Categorized
TUMBLR-00043,National Explainer: A Job for Journalists on the Demand Side of News,https://tmblr.co/ZCJQUyDN7d0,,Needs Review
TUMBLR-00044,Tweet This,https://tmblr.co/ZCJQUyDN9OG,Journalism Education,Categorized
TUMBLR-00045,Studio 20,https://tmblr.co/ZCJQUyDN9s7,Journalism Education,Categorized
TUMBLR-00046,"On Twitter, mindcasting is the new lifecasting",https://tmblr.co/ZCJQUyDNBID,,Needs Review
