entity_id,entity_type,entity_name,normalized_name,role_or_description,affiliation,prominence_score,first_mention_record_id,total_mentions,related_entities,notes
C0001,Concept,Handsell Book,Handsell Book,,,9,RECORD-00002,6,,
C0002,Concept,Press Release Journalism,Press Release Journalism,,,5,RECORD-00002,3,,
C0003,Concept,Age of Insight,Age of Insight,,,6,RECORD-00002,7,,
C0004,Concept,View from Nowhere,View from Nowhere,,,7,RECORD-00004,47,,
C0005,Concept,Newsroom Religion,Newsroom Religion,,,8,RECORD-00004,3,,
C0006,Concept,Transparency,Transparency,,,8,RECORD-00005,18,,
C0007,Concept,Anti-veneration,Anti-veneration,,,7,RECORD-00019,1,,
C0008,Concept,Truthiness,Truthiness,,,7,RECORD-00019,1,,
C0009,Concept,Freedom from Fact,Freedom from Fact,,,9,RECORD-00021,1,,
C0010,Concept,Verification in Reverse,Verification in Reverse,,,7,RECORD-00021,4,,
C0011,Concept,The journalist's code,The journalist's code,,,6,RECORD-00022,1,,
C0012,Concept,Flood the zone with shit,Flood the zone with shit,,,9,RECORD-00022,1,,
C0013,Concept,Firehose of falsehood,Firehose of falsehood,,,6,RECORD-00022,1,,
C0014,Concept,Savvy style,Savvy style,,,6,RECORD-00022,8,,
C0015,Concept,Journalism,Journalism,,,9,RECORD-00023,13,,
C0016,Concept,Political Journalism,Political Journalism,,,9,RECORD-00024,5,,
C0017,Concept,Pro-democracy coverage,Pro-democracy coverage,,,9,RECORD-00024,1,,
C0018,Concept,Authoritarian news system,Authoritarian news system,,,8,RECORD-00024,1,,
C0019,Concept,Citizens' agenda approach,Citizens' agenda approach,,,7,RECORD-00024,1,,
C0020,Concept,Democratic backsliding,Democratic backsliding,,,7,RECORD-00024,1,,
C0021,Concept,Journalistic Bias,Journalistic Bias,,,8,RECORD-00025,1,,
C0022,Concept,Misinformation,Misinformation,,,7,RECORD-00025,2,,
C0023,Concept,Echo Chambers,Echo Chambers,,,6,RECORD-00025,1,,
C0024,Concept,Deepfakes,Deepfakes,,,4,RECORD-00025,1,,
C0025,Concept,Disinformation,Disinformation,,,5,RECORD-00025,4,,
C0026,Concept,Factlessness,Factlessness,,,4,RECORD-00025,1,,
C0027,Concept,American Consensus,American Consensus,,,6,RECORD-00026,1,,
C0028,Concept,Both-sidesism,Both-sidesism,,,6,RECORD-00027,1,,
C0029,Concept,False Equivalence,False Equivalence,,,5,RECORD-00027,1,,
C0030,Concept,Both Sides Journalism,Both Sides Journalism,,,7,RECORD-00028,3,,
C0031,Concept,Incremental Coverage,Incremental Coverage,,,7,RECORD-00028,1,,
C0032,Concept,Moderate,Moderate,,,8,RECORD-00028,1,,
C0033,Concept,Centrist,Centrist,,,7,RECORD-00028,1,,
C0034,Concept,Technical Debt,Technical Debt,,,7,RECORD-00029,1,,
C0035,Concept,Savvy Outlook,Savvy Outlook,,,6,RECORD-00029,1,,
C0036,Concept,Asymmetry,Asymmetry,,,9,RECORD-00029,1,,
C0037,Concept,Crowdsourcing,Crowdsourcing,,,9,RECORD-00030,5,,
C0038,Concept,Falsehood,Falsehood,,,7,RECORD-00031,1,,
C0039,Concept,Amplification,Amplification,,,6,RECORD-00031,1,,
C0040,Concept,Big Lie,Big Lie,,,7,RECORD-00031,1,,
C0041,Concept,Horse race journalism,Horse race journalism,,,9,RECORD-00033,8,,
C0042,Concept,Citizens agenda,Citizens agenda,,,8,RECORD-00033,8,,
C0043,Concept,Local Journalism,Local Journalism,,,8,RECORD-00036,1,,
C0044,Concept,National security interests,National security interests,,,7,RECORD-00037,1,,
C0045,Concept,Classified information,Classified information,,,7,RECORD-00037,1,,
C0046,Concept,Terrorism,Terrorism,,,7,RECORD-00037,1,,
C0047,Concept,Public Journalism,Public Journalism,,,10,RECORD-00038,15,,
C0048,Concept,Civic Journalism,Civic Journalism,,,8,RECORD-00038,7,,
C0049,Concept,Truth Sandwich,Truth Sandwich,,,8,RECORD-00039,1,,
C0050,Concept,Objectivity,Objectivity,,,7,RECORD-00042,18,,
C0051,Concept,Horse-race journalism,Horse-race journalism,,,6,RECORD-00042,1,,
C0052,Concept,Both-sides journalism,Both-sides journalism,,,6,RECORD-00042,1,,
C0054,Concept,Guardrails of democracy,Guardrails of democracy,,,6,RECORD-00042,1,,
C0055,Concept,American Journalism,American Journalism,,,7,RECORD-00043,1,,
C0056,Concept,Media Objectivity,Media Objectivity,,,6,RECORD-00043,1,,
C0057,Concept,Enhanced interrogation,Enhanced interrogation,,,4,RECORD-00043,1,,
C0058,Concept,Torture,Torture,,,3,RECORD-00043,1,,
C0059,Concept,Horse Race Model,Horse Race Model,,,6,RECORD-00043,1,,
C0060,Concept,Trust in the news media,Trust in the news media,,,7,RECORD-00044,2,,
C0061,Concept,Alternative business models,Alternative business models,,,6,RECORD-00044,1,,
C0062,Concept,Civic Journalism Movement,Civic Journalism Movement,,,7,RECORD-00045,3,,
