relationship_id,source_record_id,source_entity_id,source_entity_name,relationship_type,target_entity_id,target_entity_name,context_snippet,confidence_score,extracted_date
RECORD-00002_REL_001,RECORD-00002,P0001,Eric Nelson,Affiliated With,O0001,John Wiley and Sons,Eric Nelson is a Senior Editor at John Wiley and Sons,1.0,2025-10-22
RECORD-00002_REL_002,RECORD-00002,P0001,Eric Nelson,Mentions,P0002,Digby,"Digby, if you’re reading this, send me an email",1.0,2025-10-22
RECORD-00002_REL_003,RECORD-00002,P0001,Eric Nelson,Discusses,C0001,Handsell Book,"In the publishing industry, we often talk about the mythic “handsell” book.",0.9,2025-10-22
RECORD-00002_REL_004,RECORD-00002,P0001,Eric Nelson,Mentions,P0003,Paul Krugman,"But before the internet, that simply couldn’t happen with a Paul Krugman column.",1.0,2025-10-22
RECORD-00002_REL_005,RECORD-00002,P0001,Eric Nelson,Mentions,O0002,The New York Times,"If you didn’t get The New York Times that day, you were out of luck.",1.0,2025-10-22
RECORD-00002_REL_006,RECORD-00002,P0001,Eric Nelson,Mentions,O0003,PBS,he might get to recap it that night in an interview on PBS,1.0,2025-10-22
RECORD-00002_REL_007,RECORD-00002,P0001,Eric Nelson,Mentions,O0004,Denver Post,"If that amazing column ran in the Denver Post, you’re not even likely to hear about it",1.0,2025-10-22
RECORD-00002_REL_008,RECORD-00002,P0001,Eric Nelson,Mentions,O0005,Daypop,"With blog-tracking tools like Daypop, Blogdex, Technorati, and even The New York Times most-emailed rss feeds",1.0,2025-10-22
RECORD-00002_REL_009,RECORD-00002,P0001,Eric Nelson,Mentions,O0006,Blogdex,"With blog-tracking tools like Daypop, Blogdex, Technorati, and even The New York Times most-emailed rss feeds",1.0,2025-10-22
RECORD-00002_REL_010,RECORD-00002,P0001,Eric Nelson,Mentions,O0007,Technorati,"With blog-tracking tools like Daypop, Blogdex, Technorati, and even The New York Times most-emailed rss feeds",1.0,2025-10-22
RECORD-00002_REL_011,RECORD-00002,P0001,Eric Nelson,Mentions,P0004,Kevin Drum,"I started reading Kevin Drum, Digby, Jay Rosen, Daniel Radosh, Ruy Teixiera",1.0,2025-10-22
RECORD-00002_REL_013,RECORD-00002,P0001,Eric Nelson,Mentions,P0005,Jay Rosen,"I started reading Kevin Drum, Digby, Jay Rosen, Daniel Radosh, Ruy Teixiera",1.0,2025-10-22
RECORD-00002_REL_014,RECORD-00002,P0001,Eric Nelson,Mentions,P0006,Daniel Radosh,"I started reading Kevin Drum, Digby, Jay Rosen, Daniel Radosh, Ruy Teixiera",1.0,2025-10-22
RECORD-00002_REL_015,RECORD-00002,P0001,Eric Nelson,Mentions,P0007,Ruy Teixiera,"I started reading Kevin Drum, Digby, Jay Rosen, Daniel Radosh, Ruy Teixiera",1.0,2025-10-22
RECORD-00002_REL_016,RECORD-00002,P0001,Eric Nelson,Mentions,P0008,Josh Marshall,"on a trip to DC, I met with the then Washington Editor of The American Prospect, Josh Marshall.",1.0,2025-10-22
RECORD-00002_REL_017,RECORD-00002,P0008,Josh Marshall,Affiliated With,O0008,The American Prospect,"the then Washington Editor of The American Prospect, Josh Marshall.",1.0,2025-10-22
RECORD-00002_REL_018,RECORD-00002,P0001,Eric Nelson,Discusses,C0002,Press Release Journalism,"They don’t fall into press release journalism, or at least not the blogs we all actually read.",0.9,2025-10-22
RECORD-00002_REL_019,RECORD-00002,P0001,Eric Nelson,Mentions,P0009,Andrew Sullivan,"If Andrew Sullivan and Jeff Jarvis, two former major magazine editors, aren’t the mainstream media, then I don’t know what that term means.",1.0,2025-10-22
RECORD-00002_REL_020,RECORD-00002,P0001,Eric Nelson,Mentions,P0010,Jeff Jarvis,"If Andrew Sullivan and Jeff Jarvis, two former major magazine editors, aren’t the mainstream media, then I don’t know what that term means.",1.0,2025-10-22
RECORD-00002_REL_022,RECORD-00002,P0011,Ken Smith,Affiliated With,O0009,Weblogs in Higher Education,"Ken Smith, at Weblogs in Higher Education, responds to this post.",1.0,2025-10-22
RECORD-00002_REL_023,RECORD-00002,P0012,Mark Glaser,Affiliated With,O0010,Online Journalism Review,"Mark Glaser, columnist for Online Journalism Review",1.0,2025-10-22
RECORD-00002_REL_024,RECORD-00002,P0012,Mark Glaser,Affiliated With,O0011,About.com,"Mark Glaser, columnist for Online Journalism Review, About.com CEO",1.0,2025-10-22
RECORD-00002_REL_025,RECORD-00002,P0013,Len Apcar,Affiliated With,O0002,The New York Times,"Len Apcar, editor in chief of NYTimes.com",1.0,2025-10-22
