id,title,url,author,publication_date,original_publication,publisher,platform,collection_id,content_type,format,word_count,length_in_seconds,excerpt,summary,thematic_categories,key_concepts,series,era,scope,tags,related_to,responds_to,influence,copyright,license,permissions,date_processed,gdrive_pdf_link,gdrive_raw_file_link,gdrive_transcript_link,transcript_filepath,pull_quote,raw_text,verified,notes
RECORD-00663,Baffler Pistols For Two,,Jay Rosen,,The Baffler,The Baffler,The Baffler,PUBLIC,Article,text,2714,,"“At a time when the normal condition of the citizen is a state of anxiety, euphoria spreads over the culture like the broad smile of an idiot.” The critic Robert Warshow wrote that in 1948. Fifty years later, something similar appears to be on Thomas Frank’s mind. Not euphoria, exactly, but a milder",,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: baffler-pistols-for-two.md
RECORD-00664,Cjr Awayness Problem,,Jay Rosen,,Columbia Journalism Review,Columbia Journalism Review,CJR,PUBLIC,Article,text,1537,,Share on TwitterShare on Blueskyb,,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: cjr-awayness-problem.md
RECORD-00665,Cjr Digital Revolution,,Jay Rosen,,Columbia Journalism Review,Columbia Journalism Review,CJR,PUBLIC,Article,text,557,,Share on TwitterShare on Blueskyb,,Digital Media & Innovation,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: cjr-digital-revolution.md
RECORD-00666,Prospect Journalists For,,Jay Rosen,,The American Prospect,The American Prospect,The American Prospect,PUBLIC,Article,text,2012,,Get the latest stories from The _Prospect_ delivered right to your inbox for the in-depth analysis you need.,,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: prospect-journalists-for.md
RECORD-00667,Upenn Civic Leadership,,Jay Rosen,,University of Pennsylvania / Pew Center,University of Pennsylvania / Pew Center,Web,PUBLIC,Article,text,8094,,![Journal](https://www.upenn.edu/static/pnc/publictalk2.html),,Journalism Theory & Practice,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: upenn-civic-leadership.md
RECORD-00668,Murray Waas Is the Woodward of Now,http://www.huffingtonpost.com/jay-rosen/murray-waas-is-the-woodwa_b_18875.html,Jay Rosen,2003-06-27,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,1667,,It should be obvious from the work who the Woodward of Now is. And if it isn't Greg Sargent can explain things to you over at the American Prospect.,,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-murray-waas-is-the-woodwa.md
RECORD-00669,Introduction to PressThink (Ghost Version),http://archive.pressthink.org/2003/08/18/introduction_ghost.html,Jay Rosen,2003-08-18,PressThink,PressThink,PressThink,PUBLIC,Article,text,1991,,,,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: pt-introduction-ghost.md
RECORD-00670,Solidarity and Ashcroft,http://archive.pressthink.org/2003/09/26/solidarity_ashcroft.html,Jay Rosen,2003-09-26,PressThink,PressThink,PressThink,PUBLIC,Article,text,1684,,,,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: pt-solidarity-ashcroft.md
RECORD-00671,The Reagans and CBS,http://archive.pressthink.org/2003/11/06/reagans_cbs.html,Jay Rosen,2003-11-06,PressThink,PressThink,PressThink,PUBLIC,Article,text,2041,,,,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: pt-reagans-cbs.md
RECORD-00672,After Miller: Let There Be Light,http://www.huffingtonpost.com/jay-rosen/after-miller-let-there-be_b_10429.html,Jay Rosen,2005-01-01,HuffPost,HuffPost,HuffPost,PUBLIC,Article,text,824,,"I don't know Judith Miller, nor do I feel like I know her. I have no glimpses into what makes her tick-- and explode. People who have known her tell me stories. I listen deeply, but there's a point past which my understanding does not get taken, even when my informants have great stories and I belie",,Press & Media Criticism,,,Web & Blogging (2000s),Commentary/Critique,,,,,Jay Rosen,,,2026-02-10 16:44:33,,,,,,,false,Recovered via Wayback Machine/Firecrawl gap analysis (Feb 2026). Source file: hp-after-miller-let-there-be.md
