id,title,type,url
RECORD-00067,Getting the Connections Right: Public Journalism a,Book Chapter,https://www.amazon.com/Getting-Connections-Right-Journalism-Perspectives/dp/0870
RECORD-00637,The Digital Divide: Exploring the Gap in Internet ,Article,https://publicnotebook.wordpress.com/2010/12/04/julian-assange-ducks-the-questio
TUMBLR-00001,Tracking the success of My Water's on Fire Tonight,Article,https://tmblr.co/ZCJQUy9ug2dE
TUMBLR-00002,Studio 20,Article,https://tmblr.co/ZCJQUy9uleNy
TUMBLR-00003,ExplainerNet,Article,https://tmblr.co/ZCJQUy9upGcZ
TUMBLR-00004,Studio 20,Article,https://tmblr.co/ZCJQUy9upkNv
TUMBLR-00005,Studio 20,Article,https://tmblr.co/ZCJQUy9urvwH
TUMBLR-00006,"Photos from ""Building A Better Explainer"" Presenta",Article,https://tmblr.co/ZCJQUy9wi4k9
TUMBLR-00007,The Local East Village to Launch September 13,Article,https://tmblr.co/ZCJQUy10m_47
TUMBLR-00008,Jay Rosen's Advice to the Next Generation of Journ,Article,https://tmblr.co/ZCJQUy114teW
TUMBLR-00009,Studio 20,Article,https://tmblr.co/ZCJQUy11VVoH
TUMBLR-00010,Studio 20 Speakers Series,Article,https://tmblr.co/ZCJQUyAWfZbJ
TUMBLR-00011,Class of 2011 - Studio III Projects and Summer Gig,Article,https://tmblr.co/ZCJQUyAYiTqx
TUMBLR-00012,Studio 20 Profiled as a Unique Approach to Journal,Article,https://tmblr.co/ZCJQUy14j4hk
TUMBLR-00013,Studio 20 Summer: Focus on Lesley Messer,Article,https://tmblr.co/ZCJQUy15dyMy
TUMBLR-00014,Studio 20 at the Arthur L. Carter Journalism Insti,Article,https://tmblr.co/ZCJQUyAwdymk
TUMBLR-00015,Studio 20 students are Designing Conversational Sp,Article,https://tmblr.co/ZCJQUyAwl1AN
TUMBLR-00016,The Redistricting Remix,Article,https://tmblr.co/ZCJQUyBVYTrk
TUMBLR-00017,Studio 20,Article,https://tmblr.co/ZCJQUy1Au0cf
TUMBLR-00018,Studio 20 Profile: Focus on James Matthews,Article,https://tmblr.co/ZCJQUy1DsomA
TUMBLR-00019,Introducing... Zoe Fraade-Blanar,Article,https://tmblr.co/ZCJQUyCVlZZq
TUMBLR-00020,The Studio 20 @ NYU Explainer,Article,https://tmblr.co/ZCJQUyCi4YTA
TUMBLR-00021,Studio 20,Article,https://tmblr.co/ZCJQUyCw4r1o
TUMBLR-00022,Open Studio: An Open Invitation,Article,https://tmblr.co/ZCJQUyCxXc-M
TUMBLR-00023,Studio 20 Will Collaborate With The Guardian on Ho,Article,https://tmblr.co/ZCJQUyDIsJfc
TUMBLR-00024,Studio 20,Article,https://tmblr.co/ZCJQUyE6An_m
TUMBLR-00025,Studio 20 Liveblogs the NYC Marathon,Article,https://tmblr.co/ZCJQUy1QWMt1
TUMBLR-00026,Studio 20's Niel Bekker Publishes Post about Disru,Article,https://tmblr.co/ZCJQUy1R0I6Z
TUMBLR-00027,Studio 20 Students Push a Variety of Envelopes wit,Article,https://tmblr.co/ZCJQUy1Z4C06
TUMBLR-00028,Studio 20 Grads Settle into their New Jobs!,Article,https://tmblr.co/ZCJQUyFqIJTj
TUMBLR-00029,(More) Studio 20 Grads Settle into their New Jobs!,Article,https://tmblr.co/ZCJQUyGoksuI
TUMBLR-00030,The Citizens’ Agenda Round 1: #unasked Questions i,Article,https://tmblr.co/ZCJQUyHB1AUo
TUMBLR-00031,Professor Samuels at SXSW: Black in America/Silico,Article,https://tmblr.co/ZCJQUyI4CAP4
TUMBLR-00032,The Man Behind the News Songs,Article,https://tmblr.co/ZCJQUyIO3Yx4
TUMBLR-00033,Studio 20 Collaborates with ProPublica to Build a ,Article,https://tmblr.co/ZCJQUy1wsFuZ
TUMBLR-00034,First Year Studio 20-er Anjali Mullany Makes Moves,Article,https://tmblr.co/ZCJQUyJO5cGZ
TUMBLR-00035,Maybe your site should be home to a Studio 20 proj,Article,https://tmblr.co/ZCJQUyJTrUWO
TUMBLR-00036,Studio 20,Article,https://tmblr.co/ZCJQUy1-9d6B
TUMBLR-00037,How to Apply,Article,https://tmblr.co/ZCJQUyDMhkv
TUMBLR-00038,Studio 20,Article,https://tmblr.co/ZCJQUyDMoNG
TUMBLR-00039,Professor Jay Rosen on BlogTalkRadio,Article,https://tmblr.co/ZCJQUyDMwnP
TUMBLR-00040,Listen to Rebooting the News,Article,https://tmblr.co/ZCJQUyDMxT5
TUMBLR-00041,Media and Music,Article,https://tmblr.co/ZCJQUyDM-LA
TUMBLR-00042,Studio 20,Article,https://tmblr.co/ZCJQUyDN2kT
TUMBLR-00043,National Explainer: A Job for Journalists on the D,Article,https://tmblr.co/ZCJQUyDN7d0
TUMBLR-00044,Tweet This,Article,https://tmblr.co/ZCJQUyDN9OG
TUMBLR-00045,Studio 20,Article,https://tmblr.co/ZCJQUyDN9s7
TUMBLR-00046,"On Twitter, mindcasting is the new lifecasting",Article,https://tmblr.co/ZCJQUyDNBID
TUMBLR-00047,NPR Interviews Studio 20 Professor,Article,https://tmblr.co/ZCJQUyDNDvc
TUMBLR-00048,Studio 20,Article,https://tmblr.co/ZCJQUyDVPS8
TUMBLR-00049,Studio 20,Article,https://tmblr.co/ZCJQUyDWDwP
TUMBLR-00050,Studio 20,Article,https://tmblr.co/ZCJQUyDWGy2
TUMBLR-00051,Studio 20 Professor discusses producing TV News,Article,https://tmblr.co/ZCJQUyDgR3x
TUMBLR-00052,Studio 20,Article,https://tmblr.co/ZCJQUyDleuJ
TUMBLR-00053,Studio 20,Article,https://tmblr.co/ZCJQUyDmy5F
TUMBLR-00054,Studio 20,Article,https://tmblr.co/ZCJQUyDn3D2
TUMBLR-00055,Studio 20,Article,https://tmblr.co/ZCJQUyDnLJ0
TUMBLR-00056,Studio 20,Article,https://tmblr.co/ZCJQUyDxNSa
TUMBLR-00057,"Q&A: Prof. Jay Rosen on NYU ""Studio 20"" Course",Article,https://tmblr.co/ZCJQUyDxR6r
TUMBLR-00058,Rebooting the News System in the Age of Social Med,Article,https://tmblr.co/ZCJQUyE24so
TUMBLR-00059,"Get with the times, Jay Rosen tells journos",Article,https://tmblr.co/ZCJQUyEGH-x
TUMBLR-00060,Studio 20,Article,https://tmblr.co/ZCJQUyEGSg1
TUMBLR-00061,Mark your calendar for Nov. 15,Article,https://tmblr.co/ZCJQUyEHm-v
TUMBLR-00062,Sources of subsidy in the production of news: a li,Article,https://tmblr.co/ZCJQUyEsFnE
TUMBLR-00063,Studio 20,Article,https://tmblr.co/ZCJQUyEzqxy
TUMBLR-00064,You can still apply...,Article,https://tmblr.co/ZCJQUyFj9Ov
TUMBLR-00065,Studio 20,Article,https://tmblr.co/ZCJQUyFuXf8
TUMBLR-00066,What Are Journalism Schools For?,Article,https://tmblr.co/ZCJQUyFucPz
TUMBLR-00067,Studio 20,Article,https://tmblr.co/ZCJQUyF_3UT
TUMBLR-00068,Jay Rosen and Clay Shirky on new media,Article,https://tmblr.co/ZCJQUyG1K6k
TUMBLR-00069,Mediabistro on Rosen and Shirky,Article,https://tmblr.co/ZCJQUyG3DSO
TUMBLR-00070,Studio 20,Article,https://tmblr.co/ZCJQUyG4cqf
TUMBLR-00071,David Holmes explains it all -- in song,Article,https://tmblr.co/ZCJQUyQ1WnhJ
TUMBLR-00072,Studio 20,Article,https://tmblr.co/ZCJQUyGuMqf
TUMBLR-00073,This Year's Studio 20 Summer Gigs,Article,https://tmblr.co/ZCJQUyQP4epJ
TUMBLR-00074,Studio 20,Article,https://tmblr.co/ZCJQUyHSm8-
TUMBLR-00075,Studio 20,Article,https://tmblr.co/ZCJQUyHV8Cl
TUMBLR-00076,Studio 20,Article,https://tmblr.co/ZCJQUyHe6yS
TUMBLR-00077,"Rosen: ""Journalism"" and ""the media"" are not synony",Article,https://tmblr.co/ZCJQUyHkKxe
TUMBLR-00078,Studio 20 Professor Named Executive Producer of St,Article,https://tmblr.co/ZCJQUyIGwU9
TUMBLR-00079,Studio 20 prof brings us 'Obama Revealed',Article,https://tmblr.co/ZCJQUyShr8jh
TUMBLR-00080,Studio 20,Article,https://tmblr.co/ZCJQUyI-ml8
TUMBLR-00081,Kevin Convey brings innovation from the newsroom t,Article,https://tmblr.co/ZCJQUyToZmhS
TUMBLR-00082,Studio 20,Article,https://tmblr.co/ZCJQUyURKQR1
TUMBLR-00083,Studio 20,Article,https://tmblr.co/ZCJQUyJXZYC
TUMBLR-00084,Final projects for Studio 20 students: they're all,Article,https://tmblr.co/ZCJQUyUhMBam
TUMBLR-00085,Studio 20,Article,https://tmblr.co/ZCJQUyJzxSH
TUMBLR-00086,Lewis Dvorkin fields some good questions from Stud,Article,https://tmblr.co/ZCJQUyVi2VTh
TUMBLR-00087,Reactions to Dave Winer's Announcement,Article,https://tmblr.co/ZCJQUyKg-dD
TUMBLR-00088,Studio 20,Article,https://tmblr.co/ZCJQUyKjOrw
TUMBLR-00089,Studio 20,Article,https://tmblr.co/ZCJQUyKjol2
TUMBLR-00090,Studio 20,Article,https://tmblr.co/ZCJQUyL9Fl6
TUMBLR-00091,Studio 20,Article,https://tmblr.co/ZCJQUyLo3j_
TUMBLR-00092,Studio 20,Article,https://tmblr.co/ZCJQUyL_B4y
TUMBLR-00093,Studio 20,Article,https://tmblr.co/ZCJQUyL_fkx
TUMBLR-00094,Open Studio Night: An Invitation.,Article,https://tmblr.co/ZCJQUyYVwnIL
TUMBLR-00095,Studio 20,Article,https://tmblr.co/ZCJQUyM7WxE
TUMBLR-00096,Studio 20,Article,https://tmblr.co/ZCJQUyMZ0qt
TUMBLR-00097,Studio 20,Article,https://tmblr.co/ZCJQUyMbLJN
TUMBLR-00098,Studio 20,Article,https://tmblr.co/ZCJQUyZKApP2
TUMBLR-00099,Studio 20,Article,https://tmblr.co/ZCJQUyN5USM
TUMBLR-00100,What's going on in NY?,Article,https://tmblr.co/ZCJQUyN7pCD
TUMBLR-00101,Studio 20 helps NYDailyNews.com with social media,Article,https://tmblr.co/ZCJQUyO9dng
TUMBLR-00102,Studio 20,Article,https://tmblr.co/ZCJQUyOAEQa
TUMBLR-00103,Studio 20 collaborating with NYTimes.com on 'Local,Article,https://tmblr.co/ZCJQUyOAY25
TUMBLR-00104,Studio 20/NYTimes.com collaboration also includes ,Article,https://tmblr.co/ZCJQUyOAn6n
TUMBLR-00105,"Explaining The Local: East Village, NYU's Collabor",Article,https://tmblr.co/ZCJQUyOHL7t
TUMBLR-00106,Studio 20,Article,https://tmblr.co/ZCJQUyOXMP5
TUMBLR-00107,Studio 20,Article,https://tmblr.co/ZCJQUyOYrR1
TUMBLR-00108,Studio 20 professor quoted on ABC's staff reductio,Article,https://tmblr.co/ZCJQUyOerKl
TUMBLR-00109,ExplainThis.org partners with podcast on The Natio,Article,https://tmblr.co/ZCJQUyP1vaS
TUMBLR-00110,Q&A on Studio 20's New York Times collaboration,Article,https://tmblr.co/ZCJQUyPF2Zk
TUMBLR-00111,Studio 20,Article,https://tmblr.co/ZCJQUyPQuSQ
TUMBLR-00112,Studio 20,Article,https://tmblr.co/ZCJQUyPY7Z7
TUMBLR-00113,Studio 20's James Matthews to intern in Brazil,Article,https://tmblr.co/ZCJQUyQB2f6
TUMBLR-00114,Studio 20,Article,https://tmblr.co/ZCJQUyQJAM4
TUMBLR-00115,Studio 20,Article,https://tmblr.co/ZCJQUyQWRN5
TUMBLR-00116,Studio 20,Article,https://tmblr.co/ZCJQUyQa-OT
TUMBLR-00117,Studio 20 professor wins two awards,Article,https://tmblr.co/ZCJQUyROCeD
TUMBLR-00118,Catch Studio 20 professor's latest work,Article,https://tmblr.co/ZCJQUyRWN_S
TUMBLR-00119,Studio 20 Director discusses the Future of Context,Article,https://tmblr.co/ZCJQUyS9_70
TUMBLR-00120,Studio 20 gets an assignment from Quartz News,Article,https://tmblr.co/ZCJQUykusWfa
TUMBLR-00121,Studio 20's Networked Reporting Project,Article,https://tmblr.co/ZCJQUykvAgeB
TUMBLR-00122,Studio 20,Article,https://tmblr.co/ZCJQUyVC6-x
TUMBLR-00123,Studio 20,Article,https://tmblr.co/ZCJQUyVLX-U
TUMBLR-00124,Studio 20 Director at 140 Characters,Article,https://tmblr.co/ZCJQUyWrD2A
TUMBLR-00125,Studio 20,Article,https://tmblr.co/ZCJQUyWre66
TUMBLR-00126,Studio 20 Professor wins another NAMIC Vision Awar,Article,https://tmblr.co/ZCJQUyW-LXL
TUMBLR-00127,Studio 20,Article,https://tmblr.co/ZCJQUyXIWoY
TUMBLR-00128,Studio 20,Article,https://tmblr.co/ZCJQUyXJRSU
TUMBLR-00129,Studio 20,Article,https://tmblr.co/ZCJQUyZ6DAG
TUMBLR-00130,Studio 20,Article,https://tmblr.co/ZCJQUyZ9MKg
TUMBLR-00131,Studio 20,Article,https://tmblr.co/ZCJQUywcD9ho
TUMBLR-00132,"Open Studio night: Dec. 12, 6 to 8 pm at NYU. Woul",Article,https://tmblr.co/ZCJQUy_KG8YG
TUMBLR-00133,Studio 20,Article,https://tmblr.co/ZCJQUy104FLlo
TUMBLR-00134,Studio 20 named as a great example of a successful,Article,https://tmblr.co/ZCJQUyh23VP
TUMBLR-00135,Studio 20 professor joins CNN as lead producer,Article,https://tmblr.co/ZCJQUyjAJSw
TUMBLR-00136,Studio 20 Student Analyzes LeBron Reaction Via Twi,Article,https://tmblr.co/ZCJQUytBg8g
TUMBLR-00137,Studio 20 Student Scores Fellowship to Work for Ne,Article,https://tmblr.co/ZCJQUytChBa
TUMBLR-00138,"Open Studio Night, 2013: where our students presen",Article,https://tmblr.co/ZCJQUy1Om-Dri
CLIP-00001,Journalists: Public denied full coverage,Article,https://www.newspapers.com/image/442484302/
CLIP-00002,"Newspapers need to give citizens a voice, critics ",Article,https://www.newspapers.com/image/145202145/
CLIP-00003,Democrats face tough presidential fight,Article,https://www.newspapers.com/image/1002776299/
CLIP-00004,NEGATIVE NEWS misses the point,Article,https://www.newspapers.com/image/485469473/
CLIP-00005,Re-examining Reporting,Article,https://www.newspapers.com/image/1219950157/
CLIP-00006,SOLUTIONS,Article,https://www.newspapers.com/image/836254505/
CLIP-00007,'Anonymous' McCain story backfires on Times,Article,https://www.newspapers.com/image/1244703251/
CLIP-00008,Journalists tackle political puzzle for 2024,Article,https://www.newspapers.com/image/1254405332/
CLIP-00009,Slain journalist to be remembered,Article,https://www.newspapers.com/image/834912620/
CLIP-00010,Reaching out to the suburbs,Article,https://www.newspapers.com/image/254708290/
CLIP-00011,Democrats hurt by inability to adapt to growing su,Article,https://www.newspapers.com/image/766788399/
CLIP-00012,Who should the newspaper be published for?,Article,https://www.newspapers.com/image/1125898881/
CLIP-00013,Beyond 2000 opens gateway to the '90s,Article,https://www.newspapers.com/image/857826260/
CLIP-00014,Book example of how media miss real issues,Article,https://www.newspapers.com/image/297575420/
CLIP-00015,The odd couple of politics,Article,https://www.newspapers.com/image/297575420/
CLIP-00016,"""Public journalism"" - just another way of doing wh",Article,https://www.newspapers.com/image/944877319/
CLIP-00017,"""Public journalism"" - just another way of doing wh",Article,https://www.newspapers.com/image/944877319/
CLIP-00018,Father Ritter's Fall From Grace:,Article,https://www.newspapers.com/image/705827538/
CLIP-00019,"Leaks Hard To Find, Experts Say",Article,https://www.newspapers.com/image/709291829/
CLIP-00020,Citizen journalism carries unique pitfalls,Article,https://www.newspapers.com/image/1249430134/
CLIP-00021,Web site arranges funding for freelancers,Article,https://www.newspapers.com/image/1247609095/
CLIP-00022,Gee! Seinfeld's on a magazine cover,Article,https://www.newspapers.com/image/1251468150/
CLIP-00024,MEDIA from A21 Skepticism is considered a key qual,Article,https://www.newspapers.com/image/193787073/
CLIP-00025,Talking heads,Article,https://www.newspapers.com/image/195261742/
CLIP-00026,'Choice' pays too little attention to issues,Article,https://www.newspapers.com/image/1100564970/
CLIP-00027,A reluctant editor takes the plunge into participa,Article,https://www.newspapers.com/image/248730092/
CLIP-00028,"Journalism professor barks at press, but the culpr",Article,https://www.newspapers.com/image/123233838/
CLIP-00029,"Revenge of the D.C. nerd, but is it sweet for Scot",Article,https://www.newspapers.com/image/1242059719/
CLIP-00030,Inside again: The choice was ... theirs,Article,https://www.newspapers.com/image/441017835/
CLIP-00031,Public backs paper's handling of Ore. shootings,Article,https://www.newspapers.com/image/441969852/
CLIP-00032,Good news,Article,https://www.newspapers.com/image/441927900/
CLIP-00033,Good news,Article,https://www.newspapers.com/image/441927900/
CLIP-00034,'Public journalism' gets an ethical going-over,Article,https://www.newspapers.com/image/318356402/
CLIP-00035,"Publishers, editors told future lies in 'public jo",Article,https://www.newspapers.com/image/1032867143/
CLIP-00036,"Brutal, reassuring and unvarnished",Article,https://www.newspapers.com/image/1049755607/
CLIP-00037,Journalism,Article,https://www.newspapers.com/image/971702031/
CLIP-00038,President meets the press,Article,https://www.newspapers.com/image/1107218285/
CLIP-00039,Media advocacy to push causes steps over line,Article,https://www.newspapers.com/image/707008954/
CLIP-00040,Defining journalists - and their rights,Article,https://www.newspapers.com/image/1248301573/
CLIP-00041,Misinterpreting Williams' misremembering,Article,https://www.newspapers.com/image/1247062202/
CLIP-00042,The moral confusion of the media,Article,https://www.newspapers.com/image/106424943/
CLIP-00043,What is R/UDAT? And what am I doing with it?,Article,https://www.newspapers.com/image/843980584/
CLIP-00044,A newspaper can be a catalyst for community dialog,Article,https://www.newspapers.com/image/641832828/
CLIP-00045,Newspaper 'public journalism' effort to revitalize,Article,https://www.newspapers.com/image/276781398/
CLIP-00046,What three papers did,Article,https://www.newspapers.com/image/276781398/
CLIP-00047,Power to the people as media sanctum invaded by we,Article,https://www.newspapers.com/image/258292432/
CLIP-00048,Why lambs can't lie down with lions,Article,https://www.newspapers.com/image/258299148/
CLIP-00049,Journalists urged to try reaching out,Article,https://www.newspapers.com/image/805514403/
CLIP-00050,College students look at local news coverage and s,Article,https://www.newspapers.com/image/234501782/
CLIP-00051,Volusia today,Article,https://www.newspapers.com/image/234529302/
CLIP-00052,Work in progress: Can public journalism save a tro,Article,https://www.newspapers.com/image/465242110/
CLIP-00053,Extreme Makeover: 'Lipstick on a pig',Article,https://www.newspapers.com/image/1249048160/
CLIP-00054,"Finding source of leak is doubtful, analysts say",Article,https://www.newspapers.com/image/583757305/
CLIP-00055,"Newspapers must reconnect citizens with issues, ex",Article,https://www.newspapers.com/image/574360470/
CLIP-00056,Work together for city's future,Article,https://www.newspapers.com/image/575229167/
CLIP-00057,History not on side of probe into leak,Article,https://www.newspapers.com/image/754141483/
CLIP-00058,Panelists deem Gulf war media coverage inadequate,Article,https://www.newspapers.com/image/886486152/
CLIP-00059,Mixed message,Article,https://www.newspapers.com/image/494967902/
CLIP-00060,What role do you play as citizen?,Article,https://www.newspapers.com/image/697507037/
CLIP-00061,Public Journalism A movement toward a basic cultur,Article,https://www.newspapers.com/image/697507037/
CLIP-00062,Elite Press Reporting On Elite Government,Article,https://www.newspapers.com/image/833945112/
